man I mone, N
14 major U, P
Thanks # C, P
If youd l, P
People str, N
Shopping o, P
Our superm, P
Added rese, P
Best quali, P
@ CityHarv, P
If ever re, N
? People d, N
Based groc, P
@ yogagirl, N
Check elde, P
? ? Starbu, P
I woke ear, P
# Coronavi, P
Stocked cl, N
Big winner, N
, normal w, P
FRIENDS , , P
Social dis, P
My local c, P
If booked , N
# CoronaOu, P
Went skiin, P
According , P
Neither Mu, N
Best take , P
social di, N
Stock mark, P
Welp time , P
! ! ! ! ! , N
With COVID, N
I 'm worri, N
@ thomaska, N
First , oi, N
@ forexlif, N
COVID-19 M, P
Stores sel, N
NYC Water , N
The oil pr, N
How many @, N
Online gam, N
Running Cr, N
Me : Did , N
# Covid-19, N
TRENDING :, N
So someone, P
This huge , P
. @ HithaH, N
`` Donald , P
The # Covi, N
As superma, N
Were good, P
The Corona, P
Interestin, N
@ AirAsiaS, P
Just K ? p, P
While yal, P
Online Ori, P
Isnt weir, N
Our chief , P
Avoid gath, N
This virus, P
Its fucke, P
Daily 4pm , P
If grocery, N
@ Disney W, N
COVID-19 ., N
Coronaviru, P
Be kind em, P
The best t, P
Were laun, P
Britain fo, N
@ MayorSch, P
Food banks, P
Having wat, N
I not know, N
Unsurprisi, P
As I onlin, P
remember i, N
Here 's ir, N
TFW accide, P
Grocery st, N
I 've asth, N
In light o, P
@ ElzMo300, P
Italians r, N
# Covid_19, P
Covid 19 b, P
1/ Well fu, N
Popping ab, N
Ok grocery, P
I need peo, N
Crazy groc, N
US truckin, N
Quiet trip, N
Bit/lot co, N
Im DC/Mar, P
Im screwe, N
? Before t, N
We ( @ ham, P
The last t, N
@ EyesOnQ , N
If 're sel, N
Contrast m, P
Confirming, P
# Unorthod, P
Nigeria Af, N
Get protec, P
# Covid_19, N
@ _MealsOn, P
@ carlfran, N
@ yawnocal, N
Im seriou, P
# Coronavi, N
So grocery, P
Stock 3 mo, P
@ Roxetera, P
? 6-year-o, P
@ realDona, N
Due COVID-, N
Hey @ real, N
When scien, N
The Corona, N
adding ite, N
Survival t, N
@ shereka4, N
@ cathymcm, N
America , , P
Amazon Nee, P
@ ragingro, P
The grocer, N
Imagine co, N
In years r, P
Fining peo, P
I hope gov, N
@ carocala, P
# Saturday, P
Grocery re, N
Wow worse , P
Staying ho, P
They wante, N
First clea, P
What criti, N
I find fas, N
Anyone fee, P
Welp . Im, N
Maybe # pa, P
Im trying, N
`` As nove, P
@ BernieSa, P
We 're hel, P
Spain numb, N
U say I 'm, P
News : Gro, N
Here list , N
It 's anno, N
With # Cor, N
How much #, N
Local shop, N
@ marcushj, N
NEW hittin, P
To anyone , N
saw parent, N
Germany ac, N
My grocery, P
# Coronavi, N
@ KZappone, N
Come guys , P
These infl, N
My last da, P
My questio, N
President , N
3/n The im, P
My thought, P
Frozen foo, N
I worried , N
# Coronavi, P
Reporting , P
Due growin, P
Is n't cra, N
All availa, P
@ Woolwort, N
We demand , N
Folks orde, P
Dont forg, N
# Coronavi, N
It wont c, N
Why people, N
Ignore onl, P
So girl 's, N
Just left , P
@ Amy_Sisk, P
We demand, N
@ cmclymer, N
# Covid-19, N
@ Jam883 g, P
infected C, P
Are people, N
Food Banks, N
Decided jo, P
Kill Coron, N
3 Support , P
@ SteveSca, P
. @ LME_ne, N
Despite go, N
A friend a, P
Maybe medi, N
If work su, N
Scenes gro, P
Y'all toil, P
# Panic bu, N
Living TV , P
Two import, N
appleinsid, P
# Coronavi, P
Important , N
# Coronavi, P
Id never , N
Hi everyon, P
Just spent, P
# Covid_19, N
# Covid_19, P
No toilet , N
My neighbo, N
Amazon sai, P
In light t, P
Please che, P
Be kind pa, P
Tip : When, P
Volunteers, N
# Bumble w, P
Currently , N
Egyptian r, P
Do n't wor, N
@ phran310, N
https : //, P
attacks se, P
To us find, P
How corner, P
Grocery st, N
Hi , I 'm , P
OMG . IS H, N
Supermarke, P
# Covid_19, N
Asst Prof , N
In # Nethe, N
Keeping pe, P
Amazon del, N
Happy Sund, P
Why help b, P
Ok small g, P
# WallStre, N
To clever , N
How think , P
Call 202 2, N
The # pani, N
I 'm back , N
Okey , hoa, P
The thing , N
Our shelve, N
Time share, P
If give at, N
President , P
# Poll cur, N
@ AskTarge, P
Consumers , P
First time, N
13,200 wor, N
The poorer, N
So , @ GOP, N
Safe Haven, N
Know anyon, N
Everyone n, P
Why @ wash, N
# CoronaVi, P
We partner, P
I chatted , P
Seeing gro, N
PSA : JUST, N
Is # coron, P
? Shortage, N
Empty supe, P
# Airbnb h, N
People not, N
Nobody foo, N
@ Subtweet, N
Relief com, P
While 're , N
Total Heal, P
Be vigilan, P
Somebody p, P
Why old pe, P
Went groce, N
Some calmi, P
Britain fo, N
I high ris, N
Any # Aust, P
Thank God , N
This weird, N
State subu, P
Photos loc, P
# coronavi, N
# Oil vs #, N
I Beijing , N
We 're con, P
At nearby , N
Went groce, N
Bought go , P
Retail Cou, N
Food banks, N
1/25 Part , P
@ KyleBran, N
Im worrie, P
A friend w, P
@ WCCO Wha, N
Stop misus, N
Meijer sto, P
Stock bott, P
Breaking !, N
Dunno e he, N
# coronavi, P
Good eveni, P
Wales move, N
I went gro, P
DAY 2 Wynn, P
The Only r, P
The overre, N
LVMH annou, P
# BREAKING, N
ICYMI : In, N
The # coro, P
The govern, N
For thinki, P
COVID-19 :, P
The biopol, N
Quarantine, P
How # Coro, P
Iraqi prot, N
The govern, N
Confirming, N
Trump Day , N
Hello neig, N
Former Sup, N
14 ways fi, P
# Woodmans, N
Everyone s, N
Went brave, P
New hours , N
Chick-fil-, P
Just got n, P
My approac, N
PANIC home, N
`` Losing , P
TLDR : Sig, P
We species, P
Not thrill, N
On one han, P
Im starti, P
Seeing pic, N
Dang folks, P
Just brave, N
My latest , P
Shelves em, P
How suppor, P
Hi everyon, N
Some peopl, N
fuck coron, N
Pam Goes L, N
The one an, N
So , pers, N
I walking , P
Do brick m, P
I checked , P
@ NotOneMo, P
Regina Foo, N
While # Ba, P
Just littl, P
Human pro , N
kinda want, N
# StockMar, N
Corona str, N
Online tra, P
The global, N
I work ret, N
I 3.5 roll, N
Shelves em, N
The pandem, N
I go groce, P
Pretty mes, P
plant-base, N
@ sainsbur, N
THIS # Cor, N
Online sho, P
The book i, P
Any compan, P
Husband go, N
This quara, N
If concern, P
@ JoshCull, P
If didnt , N
Really don, P
Here 's su, P
Every sing, P
Food shopp, N
If youre , N
I begging , N
I witnesse, N
Anyone inf, N
We Texas ., P
These sugg, P
COVID-19 i, N
We always , P
Stock make, P
Crowe 's G, P
Call . Dem, P
Here ways , P
@ ANI It w, P
# Covid_19, N
Live Lindl, P
extract we, N
Im worrie, N
BEING NEIG, P
People . I, N
With news , P
OK ......., N
Lets ask , P
While # Tr, N
When stock, N
When go pu, P
What 's di, P
The price , P
Pharmacies, P
After care, P
George wen, N
Rest assu, N
@ FiestaRo, P
My nephew , N
BoC 's Pol, P
To lady pr, N
More 4.4 m, N
Can someon, N
Hey fun fa, N
Call healt, N
Supermarke, N
@ DeacePro, N
Where coro, N
As think ,, P
If booked , N
Social dis, P
As retail , P
@ HyVee pl, N
So let get, N
I went Gro, N
# Covid_19, N
Panic buyi, N
Apparently, N
# Thankful, P
supermarke, N
If suspect, N
Just stopp, N
I wore mas, N
19 Malaysi, P
You 've em, P
Floridas , P
Coronaviru, P
Go ahead s, P
Just inter, N
@ jelani9 , P
As I appea, P
@ kroger @, P
4- Russia , N
Protect Co, P
@ yvonne4t, N
@ damianek, P
THINGS TO , P
My German , N
As someone, P
? ? It 's , P
Thanks gre, P
In case he, P
Absolutely, P
Zimbabwean, P
@ TUIUK @ , P
We dont en, P
@ Johnson4, P
Things I t, N
Imagine pr, N
A friendly, P
Do see imp, P
're accost, P
All younge, N
Savages . , N
Coronaviru, P
These info, N
@ TullowOi, N
COVID 19 p, N
Have say C, N
@ YesTheor, N
# COVID19 , N
Easyjet em, P
Help keep , P
Class susp, N
safe onlin, P
Working ha, P
Consumer h, P
Important , P
# 2 Make s, P
No lull gr, N
COVID-19 ., P
Hi ! Pleas, P
All crazie, N
Hey price , N
Garlic pri, P
Went 2 gro, N
Yesterday , P
At Dominio, N
How Manage, N
Damn ... T, N
@ roncarut, P
Enjoy best, P
Public pan, N
Rich getti, P
Heres tho, N
Hey @ Tesc, P
While you, P
lets hope , P
I instruct, P
Setting ol, P
0 % chance, P
The German, N
PSA : Be k, P
Has initia, P
Pretty anx, P
2/ I could, P
@ RicePoli, N
We may not, P
Third Stre, P
Anxiety # , P
# IAG Euro, P
Coronaviru, N
Waking # h, P
The fight , N
kinda glad, N
Panic buyi, N
Corona vir, N
spreads qu, P
Lucky supe, P
After visi, P
Anybody wh, P
Sephora fr, P
I may naiv, N
The scary , N
What wrong, N
@ Tesco Is, P
Since peop, P
@ realDona, N
reserving , N
To people , P
* * * * * , P
At Big Roc, P
At local T, N
Well , it, P
With # Cor, P
$ UBID .00, N
Telangana , N
... 12h00 , N
Please awa, P
@ reliance, P
Pro tip : , P
Before go , P
So started, N
New Jersey, P
To animal , P
The people, N
Omo na wa , P
Hey buying, P
@ Emma_L_D, P
Global sto, N
After loca, P
Please ple, P
The top fo, P
Please not, P
If superma, P
https : //, N
The grocer, N
Just got b, N
Airlines :, N
Stay Safe , P
In # Russi, N
# Coronavi, N
@ GovWhitm, N
Just like , P
Yo mama na, N
While peop, N
Do n't pan, N
# coronavi, N
@ Mandalay, N
Before get, P
This advic, N
Doing onli, P
Its heart, P
Like many , P
# Coronavi, P
queenafua , P
Some helpf, P
@ GOPLeade, P
# Hoarding, N
@ AngelaDu, P
About camp, P
Hygiene ti, P
It expensi, N
's not gro, N
@ GovPritz, N
I really e, N
People flo, P
Govt under, N
When stock, N
@ sidhakur, P
Reality ch, P
# Venezuel, N
So happy s, P
# Covid_19, P
Stock cann, N
Amazon hir, P
As Family , P
Ive never, P
This start, N
@ sainsbur, N
Going groc, P
Almost eve, N
Went Costc, N
How surviv, N
Why I feel, N
2/9 We liv, N
Are stores, P
Just want , P
I saw play, P
Important , N
Just went , N
On differe, P
Yall need, P
In panic p, N
Zombie Apo, N
If youre , N
